code,short_description,long_description,is_billable,organ_system,criteria_type
C00,0 Malignant neoplasm of lip,Malignant neoplasm of lip,False,general,contraindication
C00.0,1 Malignant neoplasm of external upper lip,Malignant neoplasm of external upper lip,False,general,contraindication
C00.1,1 Malignant neoplasm of external lower lip,Malignant neoplasm of external lower lip,False,general,contraindication
C00.2,"1 Malignant neoplasm of external lip, unspecified","Malignant neoplasm of external lip, unspecified",False,general,contraindication
C00.3,"1 Malignant neoplasm of upper lip, inner aspect","Malignant neoplasm of upper lip, inner aspect",False,general,contraindication
C00.4,"1 Malignant neoplasm of lower lip, inner aspect","Malignant neoplasm of lower lip, inner aspect",False,general,contraindication
C00.5,"1 Malignant neoplasm of lip, unspecified, inner aspect","Malignant neoplasm of lip, unspecified, inner aspect",False,general,contraindication
C00.6,"1 Malignant neoplasm of commissure of lip, unspecified","Malignant neoplasm of commissure of lip, unspecified",False,general,contraindication
C00.8,1 Malignant neoplasm of overlapping sites of lip,Malignant neoplasm of overlapping sites of lip,False,general,contraindication
C00.9,"1 Malignant neoplasm of lip, unspecified","Malignant neoplasm of lip, unspecified",False,general,contraindication
C01,1 Malignant neoplasm of base of tongue,Malignant neoplasm of base of tongue,False,general,contraindication
C02,0 Malignant neoplasm of other and unspecified parts of tongu,e  Malignant neoplasm of other and unspecified parts of tongue,False,general,contraindication
C02.0,1 Malignant neoplasm of dorsal surface of tongue,Malignant neoplasm of dorsal surface of tongue,False,general,contraindication
C02.1,1 Malignant neoplasm of border of tongue,Malignant neoplasm of border of tongue,False,general,contraindication
C02.2,1 Malignant neoplasm of ventral surface of tongue,Malignant neoplasm of ventral surface of tongue,False,general,contraindication
C02.3,"1 Malig neoplasm of anterior two-thirds of tongue, part unsp","Malignant neoplasm of anterior two-thirds of tongue, part unspecified",False,general,contraindication
C02.4,1 Malignant neoplasm of lingual tonsil,Malignant neoplasm of lingual tonsil,False,general,contraindication
C02.8,1 Malignant neoplasm of overlapping sites of tongue,Malignant neoplasm of overlapping sites of tongue,False,general,contraindication
C02.9,"1 Malignant neoplasm of tongue, unspecified","Malignant neoplasm of tongue, unspecified",False,general,contraindication
C03,0 Malignant neoplasm of gum,Malignant neoplasm of gum,False,general,contraindication
C03.0,1 Malignant neoplasm of upper gum,Malignant neoplasm of upper gum,False,general,contraindication
C03.1,1 Malignant neoplasm of lower gum,Malignant neoplasm of lower gum,False,general,contraindication
C03.9,"1 Malignant neoplasm of gum, unspecified","Malignant neoplasm of gum, unspecified",False,general,contraindication
C04,0 Malignant neoplasm of floor of mouth,Malignant neoplasm of floor of mouth,False,general,contraindication
C04.0,1 Malignant neoplasm of anterior floor of mouth,Malignant neoplasm of anterior floor of mouth,False,general,contraindication
C04.1,1 Malignant neoplasm of lateral floor of mouth,Malignant neoplasm of lateral floor of mouth,False,general,contraindication
C04.8,1 Malignant neoplasm of overlapping sites of floor of mouth,Malignant neoplasm of overlapping sites of floor of mouth,False,general,contraindication
C04.9,"1 Malignant neoplasm of floor of mouth, unspecified","Malignant neoplasm of floor of mouth, unspecified",False,general,contraindication
C05,0 Malignant neoplasm of palate,Malignant neoplasm of palate,False,general,contraindication
C05.0,1 Malignant neoplasm of hard palate,Malignant neoplasm of hard palate,False,general,contraindication
C05.1,1 Malignant neoplasm of soft palate,Malignant neoplasm of soft palate,False,general,contraindication
C05.2,1 Malignant neoplasm of uvula,Malignant neoplasm of uvula,False,general,contraindication
C05.8,1 Malignant neoplasm of overlapping sites of palate,Malignant neoplasm of overlapping sites of palate,False,general,contraindication
C05.9,"1 Malignant neoplasm of palate, unspecified","Malignant neoplasm of palate, unspecified",False,general,contraindication
C06,0 Malignant neoplasm of other and unspecified parts of mouth,Malignant neoplasm of other and unspecified parts of mouth,False,general,contraindication
C06.0,1 Malignant neoplasm of cheek mucosa,Malignant neoplasm of cheek mucosa,False,general,contraindication
C06.1,1 Malignant neoplasm of vestibule of mouth,Malignant neoplasm of vestibule of mouth,False,general,contraindication
C06.2,1 Malignant neoplasm of retromolar area,Malignant neoplasm of retromolar area,False,general,contraindication
C06.8,0 Malignant neoplasm of ovrlp sites of and unsp parts of mou,th Malignant neoplasm of overlapping sites of other and unspecified parts of mouth,False,general,contraindication
C06.80,1 Malignant neoplasm of ovrlp sites of unsp parts of mouth,Malignant neoplasm of overlapping sites of unspecified parts of mouth,False,general,contraindication
C06.89,1 Malignant neoplasm of overlapping sites of oth prt mouth,Malignant neoplasm of overlapping sites of other parts of mouth,False,general,contraindication
C06.9,"1 Malignant neoplasm of mouth, unspecified","Malignant neoplasm of mouth, unspecified",False,general,contraindication
C07,1 Malignant neoplasm of parotid gland,Malignant neoplasm of parotid gland,False,general,contraindication
C08,0 Malignant neoplasm of other and unsp major salivary glands,Malignant neoplasm of other and unspecified major salivary glands,False,general,contraindication
C08.0,1 Malignant neoplasm of submandibular gland,Malignant neoplasm of submandibular gland,False,general,contraindication
C08.1,1 Malignant neoplasm of sublingual gland,Malignant neoplasm of sublingual gland,False,general,contraindication
C08.9,"1 Malignant neoplasm of major salivary gland, unspecified","Malignant neoplasm of major salivary gland, unspecified",False,general,contraindication
C09,0 Malignant neoplasm of tonsil,Malignant neoplasm of tonsil,False,general,contraindication
C09.0,1 Malignant neoplasm of tonsillar fossa,Malignant neoplasm of tonsillar fossa,False,general,contraindication
C09.1,1 Malig neoplasm of tonsillar pillar (anterior) (posterior),Malignant neoplasm of tonsillar pillar (anterior) (posterior),False,general,contraindication
C09.8,1 Malignant neoplasm of overlapping sites of tonsil,Malignant neoplasm of overlapping sites of tonsil,False,general,contraindication
C09.9,"1 Malignant neoplasm of tonsil, unspecified","Malignant neoplasm of tonsil, unspecified",False,general,contraindication
C10,0 Malignant neoplasm of oropharynx,Malignant neoplasm of oropharynx,False,general,contraindication
C10.0,1 Malignant neoplasm of vallecula,Malignant neoplasm of vallecula,False,general,contraindication
C10.1,1 Malignant neoplasm of anterior surface of epiglottis,Malignant neoplasm of anterior surface of epiglottis,False,general,contraindication
C10.2,1 Malignant neoplasm of lateral wall of oropharynx,Malignant neoplasm of lateral wall of oropharynx,False,general,contraindication
C10.3,1 Malignant neoplasm of posterior wall of oropharynx,Malignant neoplasm of posterior wall of oropharynx,False,general,contraindication
C10.4,1 Malignant neoplasm of branchial cleft,Malignant neoplasm of branchial cleft,False,general,contraindication
C10.8,1 Malignant neoplasm of overlapping sites of oropharynx,Malignant neoplasm of overlapping sites of oropharynx,False,general,contraindication
C10.9,"1 Malignant neoplasm of oropharynx, unspecified","Malignant neoplasm of oropharynx, unspecified",False,general,contraindication
C11,0 Malignant neoplasm of nasopharynx,Malignant neoplasm of nasopharynx,False,general,contraindication
C11.0,1 Malignant neoplasm of superior wall of nasopharynx,Malignant neoplasm of superior wall of nasopharynx,False,general,contraindication
C11.1,1 Malignant neoplasm of posterior wall of nasopharynx,Malignant neoplasm of posterior wall of nasopharynx,False,general,contraindication
C11.2,1 Malignant neoplasm of lateral wall of nasopharynx,Malignant neoplasm of lateral wall of nasopharynx,False,general,contraindication
C11.3,1 Malignant neoplasm of anterior wall of nasopharynx,Malignant neoplasm of anterior wall of nasopharynx,False,general,contraindication
C11.8,1 Malignant neoplasm of overlapping sites of nasopharynx,Malignant neoplasm of overlapping sites of nasopharynx,False,general,contraindication
C11.9,"1 Malignant neoplasm of nasopharynx, unspecified","Malignant neoplasm of nasopharynx, unspecified",False,general,contraindication
C12,1 Malignant neoplasm of pyriform sinus,Malignant neoplasm of pyriform sinus,False,general,contraindication
C13,0 Malignant neoplasm of hypopharynx,Malignant neoplasm of hypopharynx,False,general,contraindication
C13.0,1 Malignant neoplasm of postcricoid region,Malignant neoplasm of postcricoid region,False,general,contraindication
C13.1,"1 Malig neoplasm of aryepiglottic fold, hypopharyngeal aspec","t  Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect",False,general,contraindication
C13.2,1 Malignant neoplasm of posterior wall of hypopharynx,Malignant neoplasm of posterior wall of hypopharynx,False,general,contraindication
C13.8,1 Malignant neoplasm of overlapping sites of hypopharynx,Malignant neoplasm of overlapping sites of hypopharynx,False,general,contraindication
C13.9,"1 Malignant neoplasm of hypopharynx, unspecified","Malignant neoplasm of hypopharynx, unspecified",False,general,contraindication
C14,"0 Malig neoplasm of sites in the lip, oral cavity and pharyn","x  Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx",False,general,contraindication
C14.0,"1 Malignant neoplasm of pharynx, unspecified","Malignant neoplasm of pharynx, unspecified",False,general,contraindication
C14.2,1 Malignant neoplasm of Waldeyer's ring,Malignant neoplasm of Waldeyer's ring,False,general,contraindication
C14.8,"1 Malig neoplm of ovrlp sites of lip, oral cavity and pharyn","x  Malignant neoplasm of overlapping sites of lip, oral cavity and pharynx",False,general,contraindication
C15,0 Malignant neoplasm of esophagus,Malignant neoplasm of esophagus,False,general,contraindication
C15.3,1 Malignant neoplasm of upper third of esophagus,Malignant neoplasm of upper third of esophagus,False,general,contraindication
C15.4,1 Malignant neoplasm of middle third of esophagus,Malignant neoplasm of middle third of esophagus,False,general,contraindication
C15.5,1 Malignant neoplasm of lower third of esophagus,Malignant neoplasm of lower third of esophagus,False,general,contraindication
C15.8,1 Malignant neoplasm of overlapping sites of esophagus,Malignant neoplasm of overlapping sites of esophagus,False,general,contraindication
C15.9,"1 Malignant neoplasm of esophagus, unspecified","Malignant neoplasm of esophagus, unspecified",False,general,contraindication
C16,0 Malignant neoplasm of stomach,Malignant neoplasm of stomach,False,general,contraindication
C16.0,1 Malignant neoplasm of cardia,Malignant neoplasm of cardia,False,general,contraindication
C16.1,1 Malignant neoplasm of fundus of stomach,Malignant neoplasm of fundus of stomach,False,general,contraindication
C16.2,1 Malignant neoplasm of body of stomach,Malignant neoplasm of body of stomach,False,general,contraindication
C16.3,1 Malignant neoplasm of pyloric antrum,Malignant neoplasm of pyloric antrum,False,general,contraindication
C16.4,1 Malignant neoplasm of pylorus,Malignant neoplasm of pylorus,False,general,contraindication
C16.5,"1 Malignant neoplasm of lesser curvature of stomach, unsp","Malignant neoplasm of lesser curvature of stomach, unspecified",False,general,contraindication
C16.6,"1 Malignant neoplasm of greater curvature of stomach, unsp","Malignant neoplasm of greater curvature of stomach, unspecified",False,general,contraindication
C16.8,1 Malignant neoplasm of overlapping sites of stomach,Malignant neoplasm of overlapping sites of stomach,False,general,contraindication
C16.9,"1 Malignant neoplasm of stomach, unspecified","Malignant neoplasm of stomach, unspecified",False,general,contraindication
C17,0 Malignant neoplasm of small intestine,Malignant neoplasm of small intestine,False,general,contraindication
C17.0,1 Malignant neoplasm of duodenum,Malignant neoplasm of duodenum,False,general,contraindication
C17.1,1 Malignant neoplasm of jejunum,Malignant neoplasm of jejunum,False,general,contraindication
C17.2,1 Malignant neoplasm of ileum,Malignant neoplasm of ileum,False,general,contraindication
C17.3,"1 Meckel's diverticulum, malignant","Meckel's diverticulum, malignant",False,general,contraindication
C17.8,1 Malignant neoplasm of overlapping sites of small intestine,Malignant neoplasm of overlapping sites of small intestine,False,general,contraindication
C17.9,"1 Malignant neoplasm of small intestine, unspecified","Malignant neoplasm of small intestine, unspecified",False,general,contraindication
C18,0 Malignant neoplasm of colon,Malignant neoplasm of colon,False,general,contraindication
C18.0,1 Malignant neoplasm of cecum,Malignant neoplasm of cecum,False,general,contraindication
C18.1,1 Malignant neoplasm of appendix,Malignant neoplasm of appendix,False,general,contraindication
C18.2,1 Malignant neoplasm of ascending colon,Malignant neoplasm of ascending colon,False,general,contraindication
C18.3,1 Malignant neoplasm of hepatic flexure,Malignant neoplasm of hepatic flexure,False,general,contraindication
C18.4,1 Malignant neoplasm of transverse colon,Malignant neoplasm of transverse colon,False,general,contraindication
C18.5,1 Malignant neoplasm of splenic flexure,Malignant neoplasm of splenic flexure,False,general,contraindication
C18.6,1 Malignant neoplasm of descending colon,Malignant neoplasm of descending colon,False,general,contraindication
C18.7,1 Malignant neoplasm of sigmoid colon,Malignant neoplasm of sigmoid colon,False,general,contraindication
C18.8,1 Malignant neoplasm of overlapping sites of colon,Malignant neoplasm of overlapping sites of colon,False,general,contraindication
C18.9,"1 Malignant neoplasm of colon, unspecified","Malignant neoplasm of colon, unspecified",False,general,contraindication
C19,1 Malignant neoplasm of rectosigmoid junction,Malignant neoplasm of rectosigmoid junction,False,general,contraindication
C20,1 Malignant neoplasm of rectum,Malignant neoplasm of rectum,False,general,contraindication
C21,0 Malignant neoplasm of anus and anal canal,Malignant neoplasm of anus and anal canal,False,general,contraindication
C21.0,"1 Malignant neoplasm of anus, unspecified","Malignant neoplasm of anus, unspecified",False,general,contraindication
C21.1,1 Malignant neoplasm of anal canal,Malignant neoplasm of anal canal,False,general,contraindication
C21.2,1 Malignant neoplasm of cloacogenic zone,Malignant neoplasm of cloacogenic zone,False,general,contraindication
C21.8,"1 Malig neoplasm of ovrlp sites of rectum, anus and anal can","al Malignant neoplasm of overlapping sites of rectum, anus and anal canal",False,general,contraindication
C22,0 Malignant neoplasm of liver and intrahepatic bile ducts,Malignant neoplasm of liver and intrahepatic bile ducts,False,general,contraindication
C22.0,1 Liver cell carcinoma,Liver cell carcinoma,False,general,contraindication
C22.1,1 Intrahepatic bile duct carcinoma,Intrahepatic bile duct carcinoma,False,general,contraindication
C22.2,1 Hepatoblastoma,Hepatoblastoma,False,general,contraindication
C22.3,1 Angiosarcoma of liver,Angiosarcoma of liver,False,general,contraindication
C22.4,1 Other sarcomas of liver,Other sarcomas of liver,False,general,contraindication
C22.7,1 Other specified carcinomas of liver,Other specified carcinomas of liver,False,general,contraindication
C22.8,"1 Malignant neoplasm of liver, primary, unspecified as to ty","pe Malignant neoplasm of liver, primary, unspecified as to type",False,general,contraindication
C22.9,"1 Malig neoplasm of liver, not specified as primary or sec","Malignant neoplasm of liver, not specified as primary or secondary",False,general,contraindication
C23,1 Malignant neoplasm of gallbladder,Malignant neoplasm of gallbladder,False,general,contraindication
C24,0 Malignant neoplasm of other and unsp parts of biliary trac,t  Malignant neoplasm of other and unspecified parts of biliary tract,False,general,contraindication
C24.0,1 Malignant neoplasm of extrahepatic bile duct,Malignant neoplasm of extrahepatic bile duct,False,general,contraindication
C24.1,1 Malignant neoplasm of ampulla of Vater,Malignant neoplasm of ampulla of Vater,False,general,contraindication
C24.8,1 Malignant neoplasm of overlapping sites of biliary tract,Malignant neoplasm of overlapping sites of biliary tract,False,general,contraindication
C24.9,"1 Malignant neoplasm of biliary tract, unspecified","Malignant neoplasm of biliary tract, unspecified",False,general,contraindication
C25,0 Malignant neoplasm of pancreas,Malignant neoplasm of pancreas,False,general,contraindication
C25.0,1 Malignant neoplasm of head of pancreas,Malignant neoplasm of head of pancreas,False,general,contraindication
C25.1,1 Malignant neoplasm of body of pancreas,Malignant neoplasm of body of pancreas,False,general,contraindication
C25.2,1 Malignant neoplasm of tail of pancreas,Malignant neoplasm of tail of pancreas,False,general,contraindication
C25.3,1 Malignant neoplasm of pancreatic duct,Malignant neoplasm of pancreatic duct,False,general,contraindication
C25.4,1 Malignant neoplasm of endocrine pancreas,Malignant neoplasm of endocrine pancreas,False,general,contraindication
C25.7,1 Malignant neoplasm of other parts of pancreas,Malignant neoplasm of other parts of pancreas,False,general,contraindication
C25.8,1 Malignant neoplasm of overlapping sites of pancreas,Malignant neoplasm of overlapping sites of pancreas,False,general,contraindication
C25.9,"1 Malignant neoplasm of pancreas, unspecified","Malignant neoplasm of pancreas, unspecified",False,general,contraindication
C26,0 Malignant neoplasm of other and ill-defined digestive orga,ns Malignant neoplasm of other and ill-defined digestive organs,False,general,contraindication
C26.0,"1 Malignant neoplasm of intestinal tract, part unspecified","Malignant neoplasm of intestinal tract, part unspecified",False,general,contraindication
C26.1,1 Malignant neoplasm of spleen,Malignant neoplasm of spleen,False,general,contraindication
C26.9,1 Malignant neoplasm of ill-defined sites within the dgstv s,ys Malignant neoplasm of ill-defined sites within the digestive system,False,general,contraindication
C30,0 Malignant neoplasm of nasal cavity and middle ear,Malignant neoplasm of nasal cavity and middle ear,False,general,contraindication
C30.0,1 Malignant neoplasm of nasal cavity,Malignant neoplasm of nasal cavity,False,general,contraindication
C30.1,1 Malignant neoplasm of middle ear,Malignant neoplasm of middle ear,False,general,contraindication
C31,0 Malignant neoplasm of accessory sinuses,Malignant neoplasm of accessory sinuses,False,general,contraindication
C31.0,1 Malignant neoplasm of maxillary sinus,Malignant neoplasm of maxillary sinus,False,general,contraindication
C31.1,1 Malignant neoplasm of ethmoidal sinus,Malignant neoplasm of ethmoidal sinus,False,general,contraindication
C31.2,1 Malignant neoplasm of frontal sinus,Malignant neoplasm of frontal sinus,False,general,contraindication
C31.3,1 Malignant neoplasm of sphenoid sinus,Malignant neoplasm of sphenoid sinus,False,general,contraindication
C31.8,1 Malignant neoplasm of overlapping sites of accessory sinus,es Malignant neoplasm of overlapping sites of accessory sinuses,False,general,contraindication
C31.9,"1 Malignant neoplasm of accessory sinus, unspecified","Malignant neoplasm of accessory sinus, unspecified",False,general,contraindication
C32,0 Malignant neoplasm of larynx,Malignant neoplasm of larynx,False,general,contraindication
C32.0,1 Malignant neoplasm of glottis,Malignant neoplasm of glottis,False,general,contraindication
C32.1,1 Malignant neoplasm of supraglottis,Malignant neoplasm of supraglottis,False,general,contraindication
C32.2,1 Malignant neoplasm of subglottis,Malignant neoplasm of subglottis,False,general,contraindication
C32.3,1 Malignant neoplasm of laryngeal cartilage,Malignant neoplasm of laryngeal cartilage,False,general,contraindication
C32.8,1 Malignant neoplasm of overlapping sites of larynx,Malignant neoplasm of overlapping sites of larynx,False,general,contraindication
C32.9,"1 Malignant neoplasm of larynx, unspecified","Malignant neoplasm of larynx, unspecified",False,general,contraindication
C33,1 Malignant neoplasm of trachea,Malignant neoplasm of trachea,False,general,contraindication
C34,0 Malignant neoplasm of bronchus and lung,Malignant neoplasm of bronchus and lung,False,general,contraindication
C34.0,0 Malignant neoplasm of main bronchus,Malignant neoplasm of main bronchus,False,general,contraindication
C34.00,1 Malignant neoplasm of unspecified main bronchus,Malignant neoplasm of unspecified main bronchus,False,general,contraindication
C34.01,1 Malignant neoplasm of right main bronchus,Malignant neoplasm of right main bronchus,False,general,contraindication
C34.02,1 Malignant neoplasm of left main bronchus,Malignant neoplasm of left main bronchus,False,general,contraindication
C34.1,"0 Malignant neoplasm of upper lobe, bronchus or lung","Malignant neoplasm of upper lobe, bronchus or lung",False,general,contraindication
C34.10,"1 Malignant neoplasm of upper lobe, unsp bronchus or lung","Malignant neoplasm of upper lobe, unspecified bronchus or lung",False,general,contraindication
C34.11,"1 Malignant neoplasm of upper lobe, right bronchus or lung","Malignant neoplasm of upper lobe, right bronchus or lung",False,general,contraindication
C34.12,"1 Malignant neoplasm of upper lobe, left bronchus or lung","Malignant neoplasm of upper lobe, left bronchus or lung",False,general,contraindication
C34.2,"1 Malignant neoplasm of middle lobe, bronchus or lung","Malignant neoplasm of middle lobe, bronchus or lung",False,general,contraindication
C34.3,"0 Malignant neoplasm of lower lobe, bronchus or lung","Malignant neoplasm of lower lobe, bronchus or lung",False,general,contraindication
C34.30,"1 Malignant neoplasm of lower lobe, unsp bronchus or lung","Malignant neoplasm of lower lobe, unspecified bronchus or lung",False,general,contraindication
C34.31,"1 Malignant neoplasm of lower lobe, right bronchus or lung","Malignant neoplasm of lower lobe, right bronchus or lung",False,general,contraindication
C34.32,"1 Malignant neoplasm of lower lobe, left bronchus or lung","Malignant neoplasm of lower lobe, left bronchus or lung",False,general,contraindication
C34.8,0 Malignant neoplasm of overlapping sites of bronchus and lu,ng Malignant neoplasm of overlapping sites of bronchus and lung,False,general,contraindication
C34.80,1 Malignant neoplasm of ovrlp sites of unsp bronchus and lun,g  Malignant neoplasm of overlapping sites of unspecified bronchus and lung,False,general,contraindication
C34.81,1 Malignant neoplasm of ovrlp sites of right bronchus and lu,ng Malignant neoplasm of overlapping sites of right bronchus and lung,False,general,contraindication
C34.82,1 Malignant neoplasm of ovrlp sites of left bronchus and lun,g  Malignant neoplasm of overlapping sites of left bronchus and lung,False,general,contraindication
C34.9,0 Malignant neoplasm of unspecified part of bronchus or lung,Malignant neoplasm of unspecified part of bronchus or lung,False,general,contraindication
C34.90,1 Malignant neoplasm of unsp part of unsp bronchus or lung,Malignant neoplasm of unspecified part of unspecified bronchus or lung,False,general,contraindication
C34.91,1 Malignant neoplasm of unsp part of right bronchus or lung,Malignant neoplasm of unspecified part of right bronchus or lung,False,general,contraindication
C34.92,1 Malignant neoplasm of unsp part of left bronchus or lung,Malignant neoplasm of unspecified part of left bronchus or lung,False,general,contraindication
C37,1 Malignant neoplasm of thymus,Malignant neoplasm of thymus,False,general,contraindication
C38,"0 Malignant neoplasm of heart, mediastinum and pleura","Malignant neoplasm of heart, mediastinum and pleura",False,general,contraindication
C38.0,1 Malignant neoplasm of heart,Malignant neoplasm of heart,False,general,contraindication
C38.1,1 Malignant neoplasm of anterior mediastinum,Malignant neoplasm of anterior mediastinum,False,general,contraindication
C38.2,1 Malignant neoplasm of posterior mediastinum,Malignant neoplasm of posterior mediastinum,False,general,contraindication
C38.3,"1 Malignant neoplasm of mediastinum, part unspecified","Malignant neoplasm of mediastinum, part unspecified",False,general,contraindication
C38.4,1 Malignant neoplasm of pleura,Malignant neoplasm of pleura,False,general,contraindication
C38.8,"1 Malig neoplm of ovrlp sites of heart, mediastinum and pleu","ra Malignant neoplasm of overlapping sites of heart, mediastinum and pleura",False,general,contraindication
C39,0 Malig neoplm of sites in the resp sys and intrathorac orga,ns Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs,False,general,contraindication
C39.0,"1 Malignant neoplasm of upper respiratory tract, part unsp","Malignant neoplasm of upper respiratory tract, part unspecified",False,general,contraindication
C39.9,"1 Malignant neoplasm of lower respiratory tract, part unsp","Malignant neoplasm of lower respiratory tract, part unspecified",False,general,contraindication
C40,0 Malignant neoplasm of bone and articular cartilage of limb,s  Malignant neoplasm of bone and articular cartilage of limbs,False,general,contraindication
C40.0,0 Malignant neoplasm of scapula and long bones of upper limb,Malignant neoplasm of scapula and long bones of upper limb,False,general,contraindication
C40.00,1 Malig neoplasm of scapula and long bones of unsp upper lim,b  Malignant neoplasm of scapula and long bones of unspecified upper limb,False,general,contraindication
C40.01,1 Malig neoplasm of scapula and long bones of right upper li,mb Malignant neoplasm of scapula and long bones of right upper limb,False,general,contraindication
C40.02,1 Malig neoplasm of scapula and long bones of left upper lim,b  Malignant neoplasm of scapula and long bones of left upper limb,False,general,contraindication
C40.1,0 Malignant neoplasm of short bones of upper limb,Malignant neoplasm of short bones of upper limb,False,general,contraindication
C40.10,1 Malignant neoplasm of short bones of unspecified upper lim,b  Malignant neoplasm of short bones of unspecified upper limb,False,general,contraindication
C40.11,1 Malignant neoplasm of short bones of right upper limb,Malignant neoplasm of short bones of right upper limb,False,general,contraindication
C40.12,1 Malignant neoplasm of short bones of left upper limb,Malignant neoplasm of short bones of left upper limb,False,general,contraindication
C40.2,0 Malignant neoplasm of long bones of lower limb,Malignant neoplasm of long bones of lower limb,False,general,contraindication
C40.20,1 Malignant neoplasm of long bones of unspecified lower limb,Malignant neoplasm of long bones of unspecified lower limb,False,general,contraindication
C40.21,1 Malignant neoplasm of long bones of right lower limb,Malignant neoplasm of long bones of right lower limb,False,general,contraindication
C40.22,1 Malignant neoplasm of long bones of left lower limb,Malignant neoplasm of long bones of left lower limb,False,general,contraindication
C40.3,0 Malignant neoplasm of short bones of lower limb,Malignant neoplasm of short bones of lower limb,False,general,contraindication
C40.30,1 Malignant neoplasm of short bones of unspecified lower lim,b  Malignant neoplasm of short bones of unspecified lower limb,False,general,contraindication
C40.31,1 Malignant neoplasm of short bones of right lower limb,Malignant neoplasm of short bones of right lower limb,False,general,contraindication
C40.32,1 Malignant neoplasm of short bones of left lower limb,Malignant neoplasm of short bones of left lower limb,False,general,contraindication
C40.8,0 Malig neoplasm of ovrlp sites of bone/artic cartl of limb,Malignant neoplasm of overlapping sites of bone and articular cartilage of limb,False,general,contraindication
C40.80,1 Malig neoplm of ovrlp sites of bone/artic cartl of unsp li,mb Malignant neoplasm of overlapping sites of bone and articular cartilage of unspecified limb,False,general,contraindication
C40.81,1 Malig neoplm of ovrlp sites of bone/artic cartl of r limb,Malignant neoplasm of overlapping sites of bone and articular cartilage of right limb,False,general,contraindication
C40.82,1 Malig neoplm of ovrlp sites of bone/artic cartl of left li,mb Malignant neoplasm of overlapping sites of bone and articular cartilage of left limb,False,general,contraindication
C40.9,0 Malignant neoplasm of unsp bones and artic cartilage of li,mb Malignant neoplasm of unspecified bones and articular cartilage of limb,False,general,contraindication
C40.90,1 Malig neoplasm of unsp bones and artic cartlg of unsp limb,Malignant neoplasm of unspecified bones and articular cartilage of unspecified limb,False,general,contraindication
C40.91,1 Malig neoplasm of unsp bones and artic cartlg of right lim,b  Malignant neoplasm of unspecified bones and articular cartilage of right limb,False,general,contraindication
C40.92,1 Malig neoplasm of unsp bones and artic cartlg of left limb,Malignant neoplasm of unspecified bones and articular cartilage of left limb,False,general,contraindication
C41,0 Malignant neoplasm of bone/artic cartl of and unsp sites,Malignant neoplasm of bone and articular cartilage of other and unspecified sites,False,general,contraindication
C41.0,1 Malignant neoplasm of bones of skull and face,Malignant neoplasm of bones of skull and face,False,general,contraindication
C41.1,1 Malignant neoplasm of mandible,Malignant neoplasm of mandible,False,general,contraindication
C41.2,1 Malignant neoplasm of vertebral column,Malignant neoplasm of vertebral column,False,general,contraindication
C41.3,"1 Malignant neoplasm of ribs, sternum and clavicle","Malignant neoplasm of ribs, sternum and clavicle",False,general,contraindication
C41.4,"1 Malignant neoplasm of pelvic bones, sacrum and coccyx","Malignant neoplasm of pelvic bones, sacrum and coccyx",False,general,contraindication
C41.9,"1 Malignant neoplasm of bone and articular cartilage, unsp","Malignant neoplasm of bone and articular cartilage, unspecified",False,general,contraindication
C43,0 Malignant melanoma of skin,Malignant melanoma of skin,False,general,contraindication
C43.0,1 Malignant melanoma of lip,Malignant melanoma of lip,False,general,contraindication
C43.1,"0 Malignant melanoma of eyelid, including canthus","Malignant melanoma of eyelid, including canthus",False,general,contraindication
C43.10,"1 Malignant melanoma of unspecified eyelid, including canthu","s  Malignant melanoma of unspecified eyelid, including canthus",False,general,contraindication
C43.11,"0 Malignant melanoma of right eyelid, including canthus","Malignant melanoma of right eyelid, including canthus",False,general,contraindication
C43.111,"1 Malignant melanoma of right upper eyelid, including canthu","s  Malignant melanoma of right upper eyelid, including canthus",False,general,contraindication
C43.112,"1 Malignant melanoma of right lower eyelid, including canthu","s  Malignant melanoma of right lower eyelid, including canthus",False,general,contraindication
C43.12,"0 Malignant melanoma of left eyelid, including canthus","Malignant melanoma of left eyelid, including canthus",False,general,contraindication
C43.121,"1 Malignant melanoma of left upper eyelid, including canthus","Malignant melanoma of left upper eyelid, including canthus",False,general,contraindication
C43.122,"1 Malignant melanoma of left lower eyelid, including canthus","Malignant melanoma of left lower eyelid, including canthus",False,general,contraindication
C43.2,0 Malignant melanoma of ear and external auricular canal,Malignant melanoma of ear and external auricular canal,False,general,contraindication
C43.20,1 Malignant melanoma of unsp ear and external auricular cana,l  Malignant melanoma of unspecified ear and external auricular canal,False,general,contraindication
C43.21,1 Malignant melanoma of right ear and external auricular can,al Malignant melanoma of right ear and external auricular canal,False,general,contraindication
C43.22,1 Malignant melanoma of left ear and external auricular cana,l  Malignant melanoma of left ear and external auricular canal,False,general,contraindication
C43.3,0 Malignant melanoma of other and unspecified parts of face,Malignant melanoma of other and unspecified parts of face,False,general,contraindication
C43.30,1 Malignant melanoma of unspecified part of face,Malignant melanoma of unspecified part of face,False,general,contraindication
C43.31,1 Malignant melanoma of nose,Malignant melanoma of nose,False,general,contraindication
