code,short_description,long_description,is_billable,organ_system,criteria_type
C88.41,"1 Extrnod mrgnl B-cell lymph mucosa-assoc lym tiss, in remis","Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lymphoma], in remission",False,general,contraindication
C88.8,0 Other malignant immunoproliferative diseases,Other malignant immunoproliferative diseases,False,general,contraindication
C88.80,1 Other malignant immunoproliferative diseases not remission,Other malignant immunoproliferative diseases not having achieved remission,False,general,contraindication
C88.81,"1 Other malignant immunoproliferative diseases, in remission","Other malignant immunoproliferative diseases, in remission",False,general,contraindication
C88.9,"0 Malignant immunoproliferative disease, unspecified","Malignant immunoproliferative disease, unspecified",False,general,contraindication
C88.90,"1 Malignant immunoproliferative disease, unsp not remission","Malignant immunoproliferative disease, unspecified not having achieved remission",False,general,contraindication
C88.91,"1 Malignant immunoproliferative disease, unsp, in remission","Malignant immunoproliferative disease, unspecified, in remission",False,general,contraindication
C90,0 Multiple myeloma and malignant plasma cell neoplasms,Multiple myeloma and malignant plasma cell neoplasms,False,general,contraindication
C90.0,0 Multiple myeloma,Multiple myeloma,False,general,contraindication
C90.00,1 Multiple myeloma not having achieved remission,Multiple myeloma not having achieved remission,False,general,contraindication
C90.01,1 Multiple myeloma in remission,Multiple myeloma in remission,False,general,contraindication
C90.02,1 Multiple myeloma in relapse,Multiple myeloma in relapse,False,general,contraindication
C90.1,0 Plasma cell leukemia,Plasma cell leukemia,False,general,contraindication
C90.10,1 Plasma cell leukemia not having achieved remission,Plasma cell leukemia not having achieved remission,False,general,contraindication
C90.11,1 Plasma cell leukemia in remission,Plasma cell leukemia in remission,False,general,contraindication
C90.12,1 Plasma cell leukemia in relapse,Plasma cell leukemia in relapse,False,general,contraindication
C90.2,0 Extramedullary plasmacytoma,Extramedullary plasmacytoma,False,general,contraindication
C90.20,1 Extramedullary plasmacytoma not having achieved remission,Extramedullary plasmacytoma not having achieved remission,False,general,contraindication
C90.21,1 Extramedullary plasmacytoma in remission,Extramedullary plasmacytoma in remission,False,general,contraindication
C90.22,1 Extramedullary plasmacytoma in relapse,Extramedullary plasmacytoma in relapse,False,general,contraindication
C90.3,0 Solitary plasmacytoma,Solitary plasmacytoma,False,general,contraindication
C90.30,1 Solitary plasmacytoma not having achieved remission,Solitary plasmacytoma not having achieved remission,False,general,contraindication
C90.31,1 Solitary plasmacytoma in remission,Solitary plasmacytoma in remission,False,general,contraindication
C90.32,1 Solitary plasmacytoma in relapse,Solitary plasmacytoma in relapse,False,general,contraindication
C91,0 Lymphoid leukemia,Lymphoid leukemia,False,general,contraindication
C91.0,0 Acute lymphoblastic leukemia [ALL],Acute lymphoblastic leukemia [ALL],False,general,contraindication
C91.00,1 Acute lymphoblastic leukemia not having achieved remission,Acute lymphoblastic leukemia not having achieved remission,False,general,contraindication
C91.01,"1 Acute lymphoblastic leukemia, in remission","Acute lymphoblastic leukemia, in remission",False,general,contraindication
C91.02,"1 Acute lymphoblastic leukemia, in relapse","Acute lymphoblastic leukemia, in relapse",False,general,contraindication
C91.1,0 Chronic lymphocytic leukemia of B-cell type,Chronic lymphocytic leukemia of B-cell type,False,general,contraindication
C91.10,1 Chronic lymphocytic leuk of B-cell type not achieve remis,Chronic lymphocytic leukemia of B-cell type not having achieved remission,False,general,contraindication
C91.11,1 Chronic lymphocytic leukemia of B-cell type in remission,Chronic lymphocytic leukemia of B-cell type in remission,False,general,contraindication
C91.12,1 Chronic lymphocytic leukemia of B-cell type in relapse,Chronic lymphocytic leukemia of B-cell type in relapse,False,general,contraindication
C91.3,0 Prolymphocytic leukemia of B-cell type,Prolymphocytic leukemia of B-cell type,False,general,contraindication
C91.30,1 Prolymphocytic leukemia of B-cell type not achieve remissi,on Prolymphocytic leukemia of B-cell type not having achieved remission,False,general,contraindication
C91.31,"1 Prolymphocytic leukemia of B-cell type, in remission","Prolymphocytic leukemia of B-cell type, in remission",False,general,contraindication
C91.32,"1 Prolymphocytic leukemia of B-cell type, in relapse","Prolymphocytic leukemia of B-cell type, in relapse",False,general,contraindication
C91.4,0 Hairy cell leukemia,Hairy cell leukemia,False,general,contraindication
C91.40,1 Hairy cell leukemia not having achieved remission,Hairy cell leukemia not having achieved remission,False,general,contraindication
C91.41,"1 Hairy cell leukemia, in remission","Hairy cell leukemia, in remission",False,general,contraindication
C91.42,"1 Hairy cell leukemia, in relapse","Hairy cell leukemia, in relapse",False,general,contraindication
C91.5,0 Adult T-cell lymphoma/leukemia (HTLV-1-associated),Adult T-cell lymphoma/leukemia (HTLV-1-associated),False,general,contraindication
C91.50,1 Adult T-cell lymph/leuk (HTLV-1-assoc) not achieve remissi,on Adult T-cell lymphoma/leukemia (HTLV-1-associated) not having achieved remission,False,general,contraindication
C91.51,"1 Adult T-cell lymphoma/leukemia (HTLV-1-assoc), in remissio","n  Adult T-cell lymphoma/leukemia (HTLV-1-associated), in remission",False,general,contraindication
C91.52,"1 Adult T-cell lymphoma/leukemia (HTLV-1-assoc), in relapse","Adult T-cell lymphoma/leukemia (HTLV-1-associated), in relapse",False,general,contraindication
C91.6,0 Prolymphocytic leukemia of T-cell type,Prolymphocytic leukemia of T-cell type,False,general,contraindication
C91.60,1 Prolymphocytic leukemia of T-cell type not achieve remissi,on Prolymphocytic leukemia of T-cell type not having achieved remission,False,general,contraindication
